Title,Image Link,Release,Rating,Metacritic,Description,Audience,Directors,Runtime,Genres
Intolerance,https://www.metacritic.com/a/img/resize/2d8463364a443f15a6c3176b6a76b238c112c428/catalog/provider/5/2/5-tt0006864.jpg?auto=webp&fit=cover&height=132&width=88,1916,Passed,99.0,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",6.8,D.W. Griffith,2 h 43 m,"['Drama', 'History']"
The Rules of the Game,https://www.metacritic.com/a/img/resize/23bda157dad3312cb54dd83e344e4558024cc694/catalog/provider/2/2/2-21ec091d78c78cd5e2224153d7c620d0.jpg?auto=webp&fit=cover&height=132&width=88,1950,Rated,99.0,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",7.7,Jean Renoir,1 h 50 m,"['Comedy', 'Drama']"
Pinocchio,https://www.metacritic.com/a/img/resize/938499ce4ef2673e76de661e242cc163465cb7fa/catalog/provider/2/2/2-293ce5f1132b6801354519e880290d98.jpg?auto=webp&fit=cover&height=132&width=88,1940,G,99.0,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",4.5,Roberto Benigni,1 h 48 m,"['Comedy', 'Family', 'Fantasy']"
Seven Samurai,https://www.metacritic.com/a/img/resize/b5ef93b65073c5786417b3b88d243e5ebeb3cbaa/catalog/provider/2/2/2-4b4ccbca6c3d3dbb6ff2f1a6c6cf703b.jpg?auto=webp&fit=cover&height=132&width=88,1956,Rated,98.0,Seven Samurai (Shichinin no samurai) tells the story of a sixteenth-century village whose desperate inhabitants hire the eponymous warriors to protect them from invading bandits.,8.8,Akira Kurosawa,3 h 27 m,"['Action', 'Drama']"
The Wild Bunch,https://www.metacritic.com/a/img/resize/a2952503e9ccd648e782e9f39885575ba5e478f5/catalog/provider/2/2/2-d4ea24b1892db81fa2229630260b5670.jpg?auto=webp&fit=cover&height=132&width=88,1969,R,98.0,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",7.7,Sam Peckinpah,2 h 25 m,"['Action', 'Adventure', 'Drama', 'Western']"
Au hasard Balthazar,https://www.metacritic.com/a/img/resize/5adaf397673ac636778a78a4dae2f73ef15a7522/catalog/provider/2/2/2-b063d321df280c23b2973f7ee22b2752.jpg?auto=webp&fit=cover&height=132&width=88,1966,Rated,98.0,Robert Bresson's 1966 film focuses on the story of the donkey Balthazar and the people around him.,7.1,Robert Bresson,1 h 35 m,['Drama']
The Lady Vanishes,https://www.metacritic.com/a/img/resize/3edf6d94a3c6941ff2b4d4ed63823992024cf77d/catalog/provider/2/2/2-a3a2f081a57ea157ad8c5ca89fa218b8.jpg?auto=webp&fit=cover&height=132&width=88,1938,Rated,98.0,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",0,Anthony Page,1 h 37 m,"['Action', 'Comedy', 'Mystery', 'Romance', 'Thriller']"
The Treasure of the Sierra Madre,https://www.metacritic.com/a/img/resize/e88529e70dfbbf32f31f7125d124d0099b095210/catalog/provider/2/2/2-59e6338377d302846990e1dbb8c1cbd8.jpg?auto=webp&fit=cover&height=132&width=88,1948,Approved,98.0,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",8.1,John Huston,2 h 6 m,"['Adventure', 'Drama', 'Western']"
Pan's Labyrinth,https://www.metacritic.com/a/img/resize/e0adc846acb3641107425322bfab96d0b76dc1d6/catalog/provider/2/2/2-89a55c670dbb2e65c56e0fa0675abf0e.jpg?auto=webp&fit=cover&height=132&width=88,2006,R,98.0,"Following a bloody civil war, young Ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. Armed with only her imagination, Ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. But soon, the lines between fantasy and reality begin to blur, and before Ofelia can turn back, she finds herself at the center of a ferocious battle between good and evil. [Warner Bros.]",8.8,Guillermo del Toro,1 h 58 m,"['Drama', 'Fantasy', 'War']"
Some Like It Hot,https://www.metacritic.com/a/img/resize/0648cea56238ee0689fa00eefae59d5264a1a824/catalog/provider/2/2/2-35e374e77942f4f468ea377e16cf0113.jpg?auto=webp&fit=cover&height=132&width=88,1959,Approved,98.0,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.3,Billy Wilder,2 h 1 m,"['Comedy', 'Music', 'Romance']"
North by Northwest,https://www.metacritic.com/a/img/resize/8107f30b14737f17289acb1180f7cc66ae1cdf18/catalog/provider/2/2/2-7c20dd64dd41531cb811890ad4806d3c.jpg?auto=webp&fit=cover&height=132&width=88,1959,Approved,98.0,"A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.",8.1,Alfred Hitchcock,2 h 16 m,"['Action', 'Adventure', 'Mystery', 'Thriller']"
Hoop Dreams,https://www.metacritic.com/a/img/resize/e70b9abe477dc8b5531c23366646c1fc90a8d0a7/catalog/provider/2/2/2-4877adb1544395b95ac11227b5be6116.jpg?auto=webp&fit=cover&height=132&width=88,1994,PG-13,98.0,Two inner-city Chicago boys with hopes of becoming professional basketball players struggle to become college players.,7.9,Steve James,2 h 50 m,"['Documentary', 'Drama', 'Sport']"
Rashomon,https://www.metacritic.com/a/img/resize/227ec0272302deb62cd5486d16ee9ec500a9bdaf/catalog/provider/2/2/2-953f9531a146f6b7373cc10db6bc7c13.jpg?auto=webp&fit=cover&height=132&width=88,1951,Rated,98.0,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",8.4,Akira Kurosawa,1 h 28 m,"['Crime', 'Drama', 'Mystery']"
The Passion of Joan of Arc,https://www.metacritic.com/a/img/resize/b71c497fe54386bf0d91860c8d2d08697ca0d758/catalog/provider/2/2/2-34751db0949b9c0354937264d78da868.jpg?auto=webp&fit=cover&height=132&width=88,1929,Passed,98.0,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",8.1,Carl Theodor Dreyer,1 h 50 m,"['Biography', 'Drama', 'History']"
All About Eve,https://www.metacritic.com/a/img/resize/0609dd34e6ab844f1952a14c0848f284e695345a/catalog/provider/2/2/2-fec55955def683ee28baaead94a2855a.jpg?auto=webp&fit=cover&height=132&width=88,1950,Approved,98.0,An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.,8.7,Joseph L. Mankiewicz,2 h 18 m,['Drama']
Metropolis (re-release),https://www.metacritic.com/a/img/resize/0ebdcf3e08281a3eba7fc25faca50e8fc0e363d4/catalog/provider/2/2/2-f67efa682397ab2c1f442078a5c383ff.jpg?auto=webp&fit=cover&height=132&width=88,2002,Rated,98.0,"Possibly the crowning achievement of silent cinema, Fritz Lang's 1927 blockbuster fuses the frenetic storytelling of twenties pulp fiction with Lang's personal fascination with the darker side of human nature.  (Kino International)",8.5,Fritz Lang,2 h 33 m,"['Drama', 'Sci-Fi']"
Jules and Jim,https://www.metacritic.com/a/img/resize/3828cb5e25ba694a10c2da84ed4973c73315fcf5/catalog/provider/2/2/2-b7860970c1a8f6a40597038a55208284.jpg?auto=webp&fit=cover&height=132&width=88,1962,Rated,97.0,Decades of a love triangle concerning two friends and an impulsive woman.,6.9,François Truffaut,1 h 45 m,"['Drama', 'Romance']"
My Left Foot,https://www.metacritic.com/a/img/resize/a10600bcd8f7295d0540776e7bbacf4832cc50e0/catalog/provider/2/2/2-87bb28b6ca28c59e24e48412e722a2b0.jpg?auto=webp&fit=cover&height=132&width=88,1989,R,97.0,"True story of cerebral palsied Christy Brown, who overcame his illness and poverty to become an accomplished artist, poet and writer.",8.3,Jim Sheridan,1 h 43 m,"['Biography', 'Drama']"
The Night of the Hunter,https://www.metacritic.com/a/img/resize/ecc8a630ad2a97639f8780ebc67b0a5e9e032166/catalog/provider/2/2/2-e7b9814bace1b20265067790bc47ef7c.jpg?auto=webp&fit=cover&height=132&width=88,1955,Approved,97.0,A traveling preacher's (Robert Mitchum) nefarious motives for marrying a fragile widow (Shelley Winters) are uncovered by her terrified young children.,8.2,Charles Laughton,1 h 32 m,"['Crime', 'Drama', 'Film-Noir', 'Thriller']"
Ran,https://www.metacritic.com/a/img/resize/7f40b1e3bcd45cfef97dde77ff39f4e3d27a2c6b/catalog/provider/2/2/2-3ba10e160130145833d6bfc2637b218c.jpg?auto=webp&fit=cover&height=132&width=88,1985,R,97.0,"An adaptation of William Shakespeare’s King Lear, Ran considers the disastrous consequences of Lord Hidetora Ichimonji’s (Tatsuya Nakadai) decision to split his kingdom among his three sons.",8.4,Akira Kurosawa,2 h 40 m,"['Action', 'Drama', 'War']"
